name,lifecycle_policy,image_count,total_size_bytes,total_size_mb,total_size_gb,total_size_tb,tags
mugen-portal,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-geo-contribute,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-pinocchio,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-identity,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-guide,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-location,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-affiliates,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
mugen-update,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
ga-to-bigquery,"[{""rulePriority"": 1, ""description"": ""limit to 8k images"", ""selection"": {""tagStatus"": ""any"", ""countType"": ""imageCountMoreThan"", ""countNumber"": 8000}, ""action"": {""type"": ""expire""}}]",0,0,0.0,0.0,0.0,"[{""Key"": ""VantaDescription"", ""Value"": ""ecr_repos""}, {""Key"": ""Terraform"", ""Value"": ""True""}, {""Key"": ""VantaOwner"", ""Value"": ""DevOps""}, {""Key"": ""VantaNonProd"", ""Value"": ""true""}, {""Key"": ""Environment"", ""Value"": ""alpha""}, {""Key"": ""TerraformDir"", ""Value"": ""alpha/us-west-2/ecr_repos""}, {""Key"": ""TerraformRepo"", ""Value"": ""terraform-infra""}]"
tmp-polylines-to-bigquery,null,0,0,0.0,0.0,0.0,[]
